Subject,first,rest
https://blank_Nodes_IRI.org/1663,1.660741209983826E1,https://blank_Nodes_IRI.org/2520
https://blank_Nodes_IRI.org/2520,4.919101932867574E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1669,1.6608123E1,https://blank_Nodes_IRI.org/2521
https://blank_Nodes_IRI.org/2521,4.9195051E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1677,1.66082596E1,https://blank_Nodes_IRI.org/2522
https://blank_Nodes_IRI.org/2522,4.9201543E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1683,1.66026746E1,https://blank_Nodes_IRI.org/2525
https://blank_Nodes_IRI.org/2525,4.91984432E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1689,1.66082596E1,https://blank_Nodes_IRI.org/2526
https://blank_Nodes_IRI.org/2526,4.9201543E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1696,1.660624454357026E1,https://blank_Nodes_IRI.org/2527
https://blank_Nodes_IRI.org/2527,4.91943579906536E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1704,1.660397E1,https://blank_Nodes_IRI.org/2528
https://blank_Nodes_IRI.org/2528,4.921003059999999E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1710,1.660624454357026E1,https://blank_Nodes_IRI.org/2529
https://blank_Nodes_IRI.org/2529,4.91943579906536E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1716,1.660624454357026E1,https://blank_Nodes_IRI.org/2531
https://blank_Nodes_IRI.org/2531,4.91943579906536E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1719,1.658144319999997E1,https://blank_Nodes_IRI.org/2532
https://blank_Nodes_IRI.org/2532,4.922815740000001E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1723,1.658886749682006E1,https://blank_Nodes_IRI.org/2533
https://blank_Nodes_IRI.org/2533,4.920956995479473E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1729,1.660397E1,https://blank_Nodes_IRI.org/2534
https://blank_Nodes_IRI.org/2534,4.921003059999999E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1735,1.660416239999995E1,https://blank_Nodes_IRI.org/2535
https://blank_Nodes_IRI.org/2535,4.919624830000001E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1743,1.661104820000003E1,https://blank_Nodes_IRI.org/2536
https://blank_Nodes_IRI.org/2536,4.91982349E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1749,1.661104820000003E1,https://blank_Nodes_IRI.org/2537
https://blank_Nodes_IRI.org/2537,4.91982349E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1755,1.66026746E1,https://blank_Nodes_IRI.org/2538
https://blank_Nodes_IRI.org/2538,4.91984432E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1762,1.66082596E1,https://blank_Nodes_IRI.org/2539
https://blank_Nodes_IRI.org/2539,4.9201543E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1770,1.661369579999996E1,https://blank_Nodes_IRI.org/2540
https://blank_Nodes_IRI.org/2540,4.91959064E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1776,1.660416239999995E1,https://blank_Nodes_IRI.org/2541
https://blank_Nodes_IRI.org/2541,4.919624830000001E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1782,1.66082596E1,https://blank_Nodes_IRI.org/2542
https://blank_Nodes_IRI.org/2542,4.9201543E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1788,1.656706050000003E1,https://blank_Nodes_IRI.org/2543
https://blank_Nodes_IRI.org/2543,4.91920224E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1789,1.660697184709858E1,https://blank_Nodes_IRI.org/2544
https://blank_Nodes_IRI.org/2544,4.920204712262365E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1795,1.661186830968997E1,https://blank_Nodes_IRI.org/2545
https://blank_Nodes_IRI.org/2545,4.919337082758206E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1801,1.661784364549345E1,https://blank_Nodes_IRI.org/2548
https://blank_Nodes_IRI.org/2548,4.919880516985283E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1809,1.66265280556E1,https://blank_Nodes_IRI.org/2549
https://blank_Nodes_IRI.org/2549,4.92020922222E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1815,1.659305229932812E1,https://blank_Nodes_IRI.org/2550
https://blank_Nodes_IRI.org/2550,4.922749289369727E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1821,1.659474280463354E1,https://blank_Nodes_IRI.org/2551
https://blank_Nodes_IRI.org/2551,4.920405406326666E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1828,1.660416239999995E1,https://blank_Nodes_IRI.org/2552
https://blank_Nodes_IRI.org/2552,4.919624830000001E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1836,1.661104820000003E1,https://blank_Nodes_IRI.org/2553
https://blank_Nodes_IRI.org/2553,4.91982349E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1843,1.661104820000003E1,https://blank_Nodes_IRI.org/2554
