Subject,downloadUrl,encodingFormat,type,má-podmínky-užití,má-vykonavatele-majetkových-práv-autorských-u-autorského-díla
https://blank_Nodes_IRI.org/14,https://www.gotobrno.cz/wp-content/uploads/2024/11/slovacky-ples.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1295,https://blank_Nodes_IRI.org/1296
https://blank_Nodes_IRI.org/178,https://www.gotobrno.cz/wp-content/uploads/2024/12/469392512_1380938339592252_4840543461460721731_n.jpeg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1303,https://blank_Nodes_IRI.org/1304
https://blank_Nodes_IRI.org/346,https://www.gotobrno.cz/wp-content/uploads/2024/10/alexandre-tharaud-1-scaled.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1310,https://blank_Nodes_IRI.org/1311
https://blank_Nodes_IRI.org/433,https://www.gotobrno.cz/wp-content/uploads/2018/12/janackovo-divadlo.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1316,https://blank_Nodes_IRI.org/1317
https://blank_Nodes_IRI.org/507,https://www.gotobrno.cz/wp-content/uploads/2024/10/alexandre-tharaud-jean-baptiste-millot-scaled.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1323,https://blank_Nodes_IRI.org/1324
https://blank_Nodes_IRI.org/1061,https://www.gotobrno.cz/wp-content/uploads/2024/12/a9_07479-edit-edit-2-scaled.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1329,https://blank_Nodes_IRI.org/1330
https://blank_Nodes_IRI.org/147,https://www.gotobrno.cz/wp-content/uploads/2019/03/mahenka.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1335,https://blank_Nodes_IRI.org/1336
https://blank_Nodes_IRI.org/209,https://www.gotobrno.cz/wp-content/uploads/2024/04/01-1.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1340,https://blank_Nodes_IRI.org/1341
https://blank_Nodes_IRI.org/525,https://www.gotobrno.cz/wp-content/uploads/2024/11/670a84ab65603.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1343,https://blank_Nodes_IRI.org/1344
https://blank_Nodes_IRI.org/28,https://www.gotobrno.cz/wp-content/uploads/2024/10/akvarelovy-workshop-v-brne.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1349,https://blank_Nodes_IRI.org/1350
https://blank_Nodes_IRI.org/1022,https://www.gotobrno.cz/wp-content/uploads/2018/12/janackovo-divadlo.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1355,https://blank_Nodes_IRI.org/1356
https://blank_Nodes_IRI.org/620,https://www.gotobrno.cz/wp-content/uploads/2024/09/ocelove-magnolie_vizual-scaled.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1362,https://blank_Nodes_IRI.org/1363
https://blank_Nodes_IRI.org/668,https://www.gotobrno.cz/wp-content/uploads/2019/03/0lb7643b-1.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1370,https://blank_Nodes_IRI.org/1371
https://blank_Nodes_IRI.org/752,https://www.gotobrno.cz/wp-content/uploads/2019/03/mahenka.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1376,https://blank_Nodes_IRI.org/1377
https://blank_Nodes_IRI.org/291,https://www.gotobrno.cz/wp-content/uploads/2024/10/jacky-terrasson-scaled.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1382,https://blank_Nodes_IRI.org/1383
https://blank_Nodes_IRI.org/827,https://www.gotobrno.cz/wp-content/uploads/2024/10/462364093_567233079198501_7595998850643707294_n-1.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1389,https://blank_Nodes_IRI.org/1390
https://blank_Nodes_IRI.org/380,https://www.gotobrno.cz/wp-content/uploads/2024/10/mk-4-ondrej-sejkora-c-vojtech-kaba-scaled.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1395,https://blank_Nodes_IRI.org/1396
