Subject,type,alternative label (cs),alternative label (en),is in scheme,notation,preferred label (cs),preferred label (en),Temporal Coverage,note (cs),definition (cs),hasBeginning,hasEnd,inXSDDate,je-nespecifikovaný
https://rpp-opendata.egon.gov.cz/odrpp/zdroj/číselníky/42/položka/1430,http://www.w3.org/2004/02/skos/core#Concept,LDC,LDC,1999-01-01,1430,Nejméně rozvinuté země,Least Developed Countries,161,,,,,,
https://rpp-opendata.egon.gov.cz/odrpp/zdroj/číselníky/42/položka/1811,http://www.w3.org/2004/02/skos/core#Concept,Země mimo Evropskou unii (15),Extra-European Union (15),1999-01-01,1811,Země mimo Evropskou unii (15),Extra-European Union (15),164,,,,,,
https://rpp-opendata.egon.gov.cz/odrpp/zdroj/číselníky/42/položka/1812,http://www.w3.org/2004/02/skos/core#Concept,Země mimo Evropskou unii (25),Extra-European Union (25),1999-01-01,1812,Země mimo Evropskou unii (25),Extra-European Union (25),6,,,,,,
https://rpp-opendata.egon.gov.cz/odrpp/zdroj/číselníky/42/položka/1813,http://www.w3.org/2004/02/skos/core#Concept,Země mimo eurozónu (12),Extra-euro-zone (12),1999-01-01,1813,Země mimo eurozónu (12),Extra-euro-zone (12),9,,,,,,
https://rpp-opendata.egon.gov.cz/odrpp/zdroj/číselníky/42/položka/1814,http://www.w3.org/2004/02/skos/core#Concept,Země mimo Evropskou unii (27),Extra-European Union (27),1999-01-01,1814,Země mimo Evropskou unii (27),Extra-European Union (27),12,,,,,,
https://rpp-opendata.egon.gov.cz/odrpp/zdroj/číselníky/42/položka/1815,http://www.w3.org/2004/02/skos/core#Concept,SNS,CIS,1999-01-01,1815,Společenství nezávislých států,Commonwealth of Independent States,16,,,,,,
https://rpp-opendata.egon.gov.cz/odrpp/zdroj/číselníky/42/položka/1816,http://www.w3.org/2004/02/skos/core#Concept,Země mimo eurozónu (13),Extra-euro-zone (13),1999-01-01,1816,Země mimo eurozónu (13),Extra-euro-zone (13),19,,,,,,
https://rpp-opendata.egon.gov.cz/odrpp/zdroj/číselníky/42/položka/1817,http://www.w3.org/2004/02/skos/core#Concept,Země mimo eurozónu (15),Extra-euro-zone (15),1999-01-01,1817,Země mimo eurozónu (15),Extra-euro-zone (15),22,,,,,,
https://rpp-opendata.egon.gov.cz/odrpp/zdroj/číselníky/42/položka/1820,http://www.w3.org/2004/02/skos/core#Concept,OECD (bez EU),OECD (excluding EU),1999-01-01,1820,Organizace pro hospodářskou spolupráci a rozvoj (bez EU),Organisation for Economic Cooperation and Development (excluding EU),28,,,,,,
https://rpp-opendata.egon.gov.cz/odrpp/zdroj/číselníky/42/položka/1913,http://www.w3.org/2004/02/skos/core#Concept,Eurozóna (11),Euro zone (11),1999-01-01,1913,Eurozóna (11),Euro zone (11),31,,,,,,
