duration (ms);size of RDF file (MB);conversion method;tables;first normal form;number of created CSVs;name of the original RDF file;date_time;time in parsing; time in converting; time in metadata; time in file write; time in zipping;;;#HODNOTA!;
18888;0.008029937744140625;streaming;more;false;1;typy-dřevin-s-n0-t1.nt;20250104_164526;99;2;18777;2;8;;18888;0,000105887;
21485;0.008029937744140625;streaming;more;true;1;typy-dřevin-s-n1-t1.nt;20250104_171152;98;2;21375;2;8;;21485;9,30882E-05;
19745;0.008029937744140625;streaming;one;true;1;typy-dřevin-s-n1-t0.nt;20250104_174839;121;2;19614;1;7;;19745;5,06457E-05;
27521;0.7676286697387695;basicQuery;one;false;1;resultats-election-presidentielle-1er-tour-2022-bourges-r-n0-t0.n3;20250104_181854;731;3747;1361;21666;16;;27521;0,78725337;
27622;0.7676286697387695;basicQuery;one;true;1;resultats-election-presidentielle-1er-tour-2022-bourges-r-n1-t0.n3;20250104_182006;674;3689;1932;21309;18;;27622;0,771450293;
24420;0.7676286697387695;splitQuery;more;true;1;resultats-election-presidentielle-1er-tour-2022-bourges-r-n1-t1.n3;20250104_182051;701;1296;952;21455;16;;24420;0,878583129;
24303;0.7676286697387695;splitQuery;more;false;1;resultats-election-presidentielle-1er-tour-2022-bourges-r-n0-t1.n3;20250104_190615;692;1224;1013;21357;17;;24303;0,878780397;
32139;0.018230438232421875;splitQuery;more;true;4;prumerny-plat-v-cssz-r-n1-t1.trig;20250104_192544;392;512;11126;20101;8;;32139;0,625439497;
32613;0.018230438232421875;basicQuery;one;true;1;prumerny-plat-v-cssz-r-n1-t0.trig;20250104_202426;338;501;11648;20118;8;;32613;0,616870573;
30871;0.018230438232421875;basicQuery;one;false;1;prumerny-plat-v-cssz-r-n0-t0.trig;20250104_202513;376;543;9833;20113;6;;30871;0,651517606;
30832;0.018230438232421875;splitQuery;more;false;4;prumerny-plat-v-cssz-r-n0-t1.trig;20250104_202607;365;459;9893;20107;8;;30832;0,65214712;
24008;0.7676286697387695;splitQuery;more;false;1;resultats-election-presidentielle-1er-tour-2022-bourges-r-n0-t1.n3;20250104_203008;758;1125;818;21291;16;;24008;0,88682939;
26693;0.00180816650390625;splitQuery;more;true;2;pohlaví-s-n1-t1.nt;20250104_203825;356;378;5890;20062;7;;26693;0,751582812;
25085;0.00180816650390625;basicQuery;one;true;1;pohlaví-s-n1-t0.nt;20250104_204131;311;220;4507;20041;6;;25085;0,79892366;
28149;0.00180816650390625;splitQuery;more;false;2;pohlaví-s-n0-t1.nt;20250104_204218;322;320;7440;20060;7;;28149;0,712636328;
24280;0.00180816650390625;basicQuery;one;false;1;pohlaví-s-n0-t0.nt;20250104_204305;318;214;3700;20041;7;;24280;0,825411862;
6360;0.00180816650390625;streaming;one;false;1;pohlaví-s-n0-t0.nt;20250104_204346;97;2;6253;1;7;;6360;0,000157233;
6168;0.00180816650390625;streaming;one;true;1;pohlaví-s-n1-t0.nt;20250104_204424;97;1;6063;1;6;;6168;0,000162127;
6205;0.00180816650390625;streaming;more;true;1;pohlaví-s-n1-t1.nt;20250104_204551;95;1;6102;1;6;;6205;0,00016116;
6525;0.00180816650390625;streaming;more;false;1;pohlaví-s-n0-t1.nt;20250104_205341;102;2;6412;2;7;;6525;0,000306513;
26872;0.00180816650390625;splitQuery;more;false;2;pohlaví-r-n0-t1.nt;20250104_205510;350;358;6104;20053;7;;26872;0,746241441;
26633;0.00180816650390625;splitQuery;more;true;2;pohlaví-r-n1-t1.nt;20250104_205614;339;336;5888;20064;6;;26633;0,753351106;
24063;0.00180816650390625;basicQuery;one;true;1;pohlaví-r-n1-t0.nt;20250104_210521;351;216;3443;20048;5;;24063;0,833146324;
23855;0.00180816650390625;basicQuery;one;false;1;pohlaví-r-n0-t0.nt;20250104_210556;322;213;3267;20045;8;;23855;0,840285056;
21424;0.019590377807617188;basicQuery;one;false;1;Oil-products-2021-RDF-Turtle-Stream-r-n0-t0.ttl;20250104_210728;381;499;492;20045;7;;21424;0,935632935;
