https://blank_Nodes_IRI.org/1468,1.6608123E1,https://blank_Nodes_IRI.org/2060
https://blank_Nodes_IRI.org/2060,4.9195051E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1474,1.6608123E1,https://blank_Nodes_IRI.org/2061
https://blank_Nodes_IRI.org/2061,4.9195051E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1482,1.661104820000003E1,https://blank_Nodes_IRI.org/2062
https://blank_Nodes_IRI.org/2062,4.91982349E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1488,1.660942699999998E1,https://blank_Nodes_IRI.org/2064
https://blank_Nodes_IRI.org/2064,4.91921197E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1494,1.661250599999994E1,https://blank_Nodes_IRI.org/2065
https://blank_Nodes_IRI.org/2065,4.91956227E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1501,1.660457726155454E1,https://blank_Nodes_IRI.org/2066
https://blank_Nodes_IRI.org/2066,4.919962603373218E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1509,1.658886749682006E1,https://blank_Nodes_IRI.org/2067
https://blank_Nodes_IRI.org/2067,4.920956995479473E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1515,1.659278798963024E1,https://blank_Nodes_IRI.org/2068
https://blank_Nodes_IRI.org/2068,4.919927181642814E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1521,1.661369579999996E1,https://blank_Nodes_IRI.org/2069
https://blank_Nodes_IRI.org/2069,4.91959064E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1527,1.658144319999997E1,https://blank_Nodes_IRI.org/2070
https://blank_Nodes_IRI.org/2070,4.922815740000001E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1528,1.660416239999995E1,https://blank_Nodes_IRI.org/2071
https://blank_Nodes_IRI.org/2071,4.919624830000001E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1534,1.66082596E1,https://blank_Nodes_IRI.org/2072
https://blank_Nodes_IRI.org/2072,4.9201543E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1540,1.660416239999995E1,https://blank_Nodes_IRI.org/2073
https://blank_Nodes_IRI.org/2073,4.919624830000001E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1548,1.646030769999993E1,https://blank_Nodes_IRI.org/2074
