Subject,rest,first
1946,2149,1.661104820000003E1
2119,2161,1.659253924338304E1
1942,2148,1.659253924338304E1
1149,1998,1.66026746E1
2238,2239,1.6608123E1
2236,2237,1.66065839218E1
1267,2019,1.660697184709858E1
1388,2043,1.65839320421E1
1387,2042,1.659474280463354E1
2234,2235,1.6608123E1
1143,1997,1.660741209983826E1
2232,2233,1.660741471027223E1
2230,2231,1.660610709383259E1
1261,2018,1.660416239999995E1
1381,2041,1.660416239999995E1
1819,2125,1.6608123E1
1939,2147,1.660741209983826E1
1935,2146,1.6608123E1
1813,2124,1.661250599999994E1
1932,2145,1.66134713E1
2228,2229,1.660799816250801E1
1137,1996,1.6608123E1
2226,2227,1.662760069833087E1
2224,2225,1.6608123E1
1255,2017,1.66082596E1
1375,2040,1.661369579999996E1
2222,2223,1.6608123E1
1209,2009,1.658886749682006E1
1328,2032,1.659774589538574E1
1449,2054,1.660306720785988E1
1567,2077,1.660416239999995E1
1687,2100,1.6608123E1
1201,2008,1.660397E1
1322,2031,1.661104820000003E1
1441,2053,1.658886749682006E1
1560,2076,1.659474280463354E1
1319,2030,1.658144319999997E1
1679,2099,1.661250599999994E1
1315,2029,1.661104820000003E1
1433,2052,1.661250599999994E1
1554,2075,1.659474280463354E1
1673,2098,1.660416239999995E1
1794,2120,1.66134713E1
1593,2083,1.66082596E1
1905,2141,1.656483940685582E1
2318,2319,1.66038404E1
1228,2012,1.661104820000003E1
1348,2035,1.659474280463354E1
2316,2317,1.661250599999994E1
1468,2060,1.6608123E1
1104,1990,1.65779897625268E1
2314,2315,1.66026746E1
1587,2082,1.658110265149472E1
2312,2313,1.660942699999998E1
1221,2011,1.661104820000003E1
1342,2034,1.661250599999994E1
2310,2311,1.66082596E1
1462,2059,1.66082596E1
1581,2081,1.658137575266728E1
2308,2309,1.658180585868548E1
2306,2307,1.65786E1
1458,2058,1.66022499289404E1
1215,2010,1.660416239999995E1
1699,2104,1.66002141012E1
2304,2305,1.6608123E1
1334,2033,1.661369579999996E1
1455,2055,1.660416239999995E1
2302,2303,1.657749770455764E1
1575,2078,1.661104820000003E1
2300,2301,1.66026746E1
1693,2101,1.659474280463354E1
2186,2187,1.659496095967352E1
2063,2160,1.659253924338304E1
2184,2185,1.66050644140859E1
2182,2183,1.659903824329376E1
2180,2181,1.66265280556E1
1528,2071,1.660416239999995E1
1406,2048,1.658101160000001E1
1527,2070,1.658144319999997E1
1647,2092,1.661369579999996E1
1767,2115,1.660942699999998E1
1885,2138,1.660942699999998E1
1400,2047,1.66082596E1
1521,2069,1.661369579999996E1
1761,2114,1.6608123E1
2178,2179,1.660909340000001E1
2298,2299,1.660397E1
2176,2177,1.66061283825923E1
2296,2297,1.660624454357026E1
2174,2175,1.661567409999998E1
2294,2295,1.661250599999994E1
2172,2173,1.6608123E1
2292,2293,1.663609869486829E1
2170,2171,1.661567409999998E1
2290,2291,1.66082596E1
1639,2091,1.6608123E1
1879,2137,1.6608123E1
1515,2068,1.659278798963024E1
1632,2090,1.66134713E1
1753,2113,1.658110265149472E1
1873,2134,1.661104820000003E1
1872,2133,1.660457726155454E1
2168,2169,1.659934650000002E1
2288,2289,1.660299503021847E1
2166,2167,1.659934138967691E1
1309,2028,1.660416239999995E1
1306,2027,1.6608123E1
1548,2074,1.646030769999993E1
1426,2051,1.659278798963024E1
1667,2097,1.661369579999996E1
1788,2118,1.66265280556E1
1666,2095,1.660471456508414E1
1302,2026,1.659474280463354E1
1420,2050,1.660848569999996E1
1540,2073,1.660416239999995E1
1660,2094,1.6608123E1
1780,2117,1.661104820000003E1
2198,2199,1.660809874534607E1
2196,2197,1.659903824329376E1
2194,2195,1.6608123E1
2192,2193,1.6608123E1
2190,2191,1.659496095967352E1
1899,2140,1.660741209983826E1
1414,2049,1.660416239999995E1
1534,2072,1.66082596E1
1654,2093,1.661250599999994E1
1773,2116,1.661101357463185E1
1893,2139,1.661369579999996E1
2188,2189,1.659496095967352E1
